Прилагательное	Словосочетание	Тип связи	MI	logDice	Attribute	Контекст
тихий	тихий звук	Свободное сочетание	6.159	5.586	Perception	Я услышал тихий звук из соседней комнаты.
тихий	тихий омут	Коллокация	11.723	6.338	Emotion	В тихий омут черти водятся — это про него.
тихий	тихий омут	Коллокация	11.723	6.338	Emotion	Этот человек казался простым, но в тихий омут все не так.
тихий	тихий парк	Свободное сочетание	3.503	3.082	Perception	Тихий парк — лучшее место для размышлений.
тихий	тихий парк	Свободное сочетание	3.503	3.082	Perception	Мы гуляли через тихий парк, где было очень мало людей.
тихий	тихий ужас	Коллокация	7.541	6.233	Emotion	То, что я увидел, вызывало тихий ужас.
тихий	тихий ужас	Коллокация	7.541	6.233	Emotion	Тихий ужас охватил нас, когда погас свет.
тихий	тихий шелест	Свободное сочетание	9.652	4.739	Perception	Слышался только тихий шелест ветра в траве.
тихий	тихий шелест	Свободное сочетание	9.652	4.739	Perception	Тихий шелест листьев навевал сон.
тонкий	тонкая бумага	Свободное сочетание	5.84	6.089	Dimension	На столе лежала тонкая бумага, на которой просвечивали чернила.
тонкий	тонкая бумага	Свободное сочетание	5.84	6.089	Dimension	Тонкая бумага быстро намокла под дождем и порвалась.
тонкий	тонкая грань	Коллокация	9.143	8.01	Evaluation	В книге он писал: «Тонкая грань отделяла меня тогда от смерти».
тонкий	тонкая грань	Коллокация	9.143	8.01	Evaluation	Между гениальностью и безумием всегда проходит очень тонкая грань.
тонкий	тонкая кость	Свободное сочетание	5.614	5.217	Dimension	При переломе пострадала тонкая кость предплечья.
тонкий	тонкая кость	Свободное сочетание	5.614	5.217	Dimension	У девушки была тонкая кость, поэтому она казалась очень хрупкой.
тонкий	тонкая настройка	Коллокация	7.879	7.78	Evaluation	Для достижения идеального звука потребовалась тонкая настройка всей аппаратуры.
тонкий	тонкая настройка	Коллокация	7.879	7.78	Evaluation	Тонкая настройка системы позволила увеличить производительность на десять процентов.
тонкий	тонкая шпилька	Свободное сочетание	7.074	4.185	Dimension	Тонкая шпилька обуви оставляла следы на мягком покрытии.
тонкий	тонкая шпилька	Свободное сочетание	7.074	4.185	Dimension	Ее тонкая шпилька застряла в щели деревянного пола.
тонкий	тонкий юмор	Коллокация	7.973	6.45	Evaluation	Он всегда ценил тонкий юмор и умел посмеяться над собой.
тонкий	тонкий юмор	Коллокация	7.973	6.45	Evaluation	Его тонкий юмор был понятен далеко не всем присутствующим.
тупой	тупая боль	Коллокация	8.809	6.51	Evaluation	Тупая боль напоминала о старой травме.
тупой	тупая боль	Коллокация	8.809	6.51	Evaluation	Тупая боль в голове не проходила весь день.
тупой	тупая игла	Свободное сочетание	8.037	5.28	Texture	Тупая игла с трудом прокалывала плотную ткань.
тупой	тупая игла	Свободное сочетание	8.037	5.28	Texture	Пришлось сменить инструмент, так как была тупая игла.
тупой	тупая шутка	Коллокация	7.837	5.138	Evaluation	Это была глупая и тупая шутка, никто не засмеялся.
тупой	тупая шутка	Коллокация	7.837	5.138	Evaluation	Его тупая шутка испортила настроение всем.
тупой	тупой звук	Коллокация	5.831	3.476	Evaluation	Тупой звук падения эхом разнесся по залу.
тупой	тупой звук	Коллокация	5.831	3.476	Evaluation	Раздался тупой звук удара, и мяч улетел.
тупой	тупой край	Свободное сочетание	5.275	2.998	Texture	Нож был старый, и у него был тупой край.
тупой	тупой край	Свободное сочетание	5.275	2.998	Texture	Тупой край топора не смог расколоть полено.
тупой	тупой предмет	Свободное сочетание	6.609	4.334	Texture	Тупой предмет валялся в углу.
тупой	тупой предмет	Свободное сочетание	6.609	4.334	Texture	Ударили именно тупой предмет, поэтому ран не было.
тяжелый	тяжёлая мебель	Свободное сочетание	4.251	4.976	Dimension	Если её сжимает тяжёлая мебель, она имеет свойство восстанавливаться после того, как нагрузка снята.
тяжелый	тяжёлая мебель	Свободное сочетание	4.251	4.976	Dimension	Перестановка в квартире потребовала сил, ведь тяжелая мебель очень трудно двигается.
тяжелый	тяжёлая промышленность	Коллокация	6.75	7.049	Intensity	Для Аргентины характерно преобладание обрабатывающей промышленности, где доминирует тяжёлая промышленность.
тяжелый	тяжёлая промышленность	Коллокация	6.75	7.049	Intensity	Тяжёлая промышленность была разрушена в ходе развала экономики.
тяжелый	тяжёлая травма	Коллокация	8.462	8.165	Intensity	Врач предупредил, что такая тяжелая травма требует длительной реабилитации.
тяжелый	тяжёлая травма	Коллокация	8.462	8.165	Intensity	Спортсмен выбыл из игры на полгода из-за того, что получил тяжелую травму колена.
тяжелый	тяжёлые вооружения	Коллокация	9.136	8.239	Intensity	Что ещё за замкнутый круг? – Тяжёлые вооружения будут отводить после прекращения огня.
тяжелый	тяжёлые вооружения	Коллокация	9.136	8.239	Intensity	Порошенко добавил, что в случае нарушения договоренностей армия вернет тяжелые вооружения на рубежи.
тяжелый	тяжёлый рюкзак	Свободное сочетание	7.49	5.436	Dimension	Он снял тяжелый рюкзак и устало опустился на скамейку.
тяжелый	тяжёлый рюкзак	Свободное сочетание	7.49	5.436	Dimension	Несмотря на тяжелый рюкзак, турист продолжал бодро подниматься в гору.
тяжелый	тяжёлый самолет	Свободное сочетание			Dimension	Этот тяжелый самолет способен перевозить сотни тонн грузов на большие расстояния.
тяжелый	тяжёлый самолет	Свободное сочетание			Dimension	На взлетную полосу выкатился тяжелый самолет, готовый к дальнему перелету.
холодный	холодная война	Коллокация	7.765	8.468	Emotion	Историки часто анализируют последствия, которые имела холодная война.
холодный	холодная война	Коллокация	7.765	8.468	Emotion	Холодная война между двумя странами длилась десятилетиями.
холодный	холодная еда	Свободное сочетание	3.798	3.88	Temperature	Холодная еда совсем не приносила удовольствия после рабочего дня.
